team,division,r1_pos,r1_dest,r1_destopp,r2_pos,r2_dest,r2_destopp,r3_pos,r3_dest,r3_destopp
Airplane,1,d,Grape,McKernan,p,Biafra,Miller,d,Journey,Miller
Bordin,1,d,Creedence,Miller,p,Moore,Testament,p,Call,Desmond
Crows,1,p,Buckingham,Desmond,d,McKernan,Desmond,p,Creedence,Moore
Franti,1,d,Moore,Lesh,p,Desmond,McKernan,d,Desmond,Call
Garcia,1,p,Testament,Call,d,Exodus,Call,d,Biafra,Testament
Greenday,1,p,Nightranger,Biafra,d,Testament,Moore,p,Miller,Journey
Joplin,1,d,Desmond,Buckingham,p,Grape,Buckingham,p,Lesh,Exodus
Lewis,1,p,Miller,Creedence,d,Lesh,Journey,p,McKernan,Buckingham
Metallica,1,d,Biafra,Nightranger,p,Call,Exodus,d,Buckingham,McKernan
Santana,1,d,Journey,Exodus,p,Creedence,Nightranger,d,Nightranger,Grape
Stone,1,p,Exodus,Journey,d,Miller,Biafra,p,Testament,Biafra
Train,1,d,Call,Testament,p,Journey,Lesh,p,Grape,Nightranger
Weir,1,p,McKernan,Grape,d,Nightranger,Creedence,d,Exodus,Lesh
Young,1,p,Lesh,Moore,d,Buckingham,Grape,d,Moore,Creedence
Biafra,2,d,Bordin,Lewis,p,Bordin,Greenday,d,Santana,Train
Buckingham,2,p,Weir,Airplane,d,Young,Joplin,d,Airplane,Greenday
Call,2,d,Joplin,Crows,p,Airplane,Stone,p,Bordin,Franti
Creedence,2,d,Metallica,Greenday,p,Santana,Weir,p,Crows,Young
Desmond,2,d,Airplane,Weir,p,Franti,Crows,d,Franti,Bordin
Exodus,2,p,Young,Franti,d,Stone,Airplane,d,Weir,Joplin
Grape,2,d,Santana,Stone,p,Joplin,Young,p,Lewis,Metallica
Journey,2,d,Franti,Young,p,Train,Lewis,d,Garcia,Stone
Lesh,2,p,Garcia,Train,d,Lewis,Train,p,Joplin,Weir
McKernan,2,p,Stone,Santana,d,Crows,Franti,p,Greenday,Airplane
Miller,2,p,Greenday,Metallica,d,Greenday,Bordin,p,Stone,Garcia
Moore,2,d,Train,Garcia,p,Metallica,Garcia,d,Young,Crows
Nightranger,2,p,Lewis,Bordin,d,Weir,Santana,d,Metallica,Lewis
Testament,2,p,Crows,Joplin,d,Garcia,Metallica,p,Train,Santana
