team,division,r1,r2,r3
Beckham,1,A313,A305,A305
Benjamin,1,A303,A303,A305
Bentz,1,A304,A302,A310
Berry,1,A303,A311,A313
Helms,1,A301,A304,A311
Hill,1,A305,A303,A303
Kelley,1,A311,A304,A313
Lee,1,A313,A313,A304
Massey,1,A301,A310,A303
McClain,1,A305,A311,A302
McCollum,1,A302,A302,A302
Moretz,1,A310,A305,A304
Reed,1,A304,A301,A301
Riggs,1,A311,A310,A311
Rowland,1,A302,A301,A310
Thompson,1,A310,A313,A301
Acres,2,A402,A315,A406
Austin,2,A401,A401,A408
Baldwin,2,A315,A412a,A410
Blomberg,2,A406,A408,A404
Boykin,2,A412a,A406,A402
Conroy,2,A408,A315,A412a
King Jr,2,A408,A404,A408
Mitchell,2,A410,A412a,A402
Nelson,2,A412a,A408,A410
Newton,2,A410,A402,A404
Ordway,2,A406,A406,A401
Pardue,2,A315,A402,A401
Pearman,2,A404,A401,A315
Seacrest,2,A404,A410,A406
Tucker,2,A401,A410,A412a
West,2,A402,A404,A315
