team,division,r1_pos,r1_dest,r1_destopp,r2_pos,r2_dest,r2_destopp,r3_pos,r3_dest,r3_destopp
Beckham,1,p,Baldwin,Nelson,d,#N/A,#N/A,FALSE,,
Benjamin,1,p,King Jr,Tucker,d,#N/A,#N/A,FALSE,,
Bentz,1,p,Mitchell,Seacrest,d,#N/A,#N/A,FALSE,,
Berry,1,p,Hill2,Ordway,d,#N/A,#N/A,FALSE,,
Helms,1,p,Acres,West,d,#N/A,#N/A,FALSE,,
Hill,1,p,Boykin,Pearman,d,#N/A,#N/A,FALSE,,
Kelley,1,p,Conroy,Pardue,d,#N/A,#N/A,FALSE,,
Lee,1,p,Blomberg,Newton,d,#N/A,#N/A,FALSE,,
Massey,1,d,Tucker,King Jr,p,#N/A,#N/A,FALSE,,
McClain,1,d,Newton,Blomberg,p,#N/A,#N/A,FALSE,,
McCollum,1,d,Nelson,Baldwin,p,#N/A,#N/A,FALSE,,
Moretz,1,d,Pearman,Boykin,p,#N/A,#N/A,FALSE,,
Reed,1,d,Pardue,Conroy,p,#N/A,#N/A,FALSE,,
Riggs,1,d,Seacrest,Mitchell,p,#N/A,#N/A,FALSE,,
Rowland,1,d,West,Acres,p,#N/A,#N/A,FALSE,,
Thompson,1,d,Ordway,Hill2,p,#N/A,#N/A,FALSE,,
Acres,2,p,Helms,Rowland,d,#N/A,#N/A,FALSE,,
Baldwin,2,p,Beckham,McCollum,d,#N/A,#N/A,FALSE,,
Blomberg,2,p,Lee,McClain,d,#N/A,#N/A,FALSE,,
Boykin,2,p,Hill,Moretz,d,#N/A,#N/A,FALSE,,
Conroy,2,p,Kelley,Reed,d,#N/A,#N/A,FALSE,,
Hill2,2,p,Berry,Thompson,d,#N/A,#N/A,FALSE,,
King Jr,2,p,Benjamin,Massey,d,#N/A,#N/A,FALSE,,
Mitchell,2,p,Bentz,Riggs,d,#N/A,#N/A,FALSE,,
Nelson,2,d,McCollum,Beckham,p,#N/A,#N/A,FALSE,,
Newton,2,d,McClain,Lee,p,#N/A,#N/A,FALSE,,
Ordway,2,d,Thompson,Berry,p,#N/A,#N/A,FALSE,,
Pardue,2,d,Reed,Kelley,p,#N/A,#N/A,FALSE,,
Pearman,2,d,Moretz,Hill,p,#N/A,#N/A,FALSE,,
Seacrest,2,d,Riggs,Bentz,p,#N/A,#N/A,FALSE,,
Tucker,2,d,Massey,Benjamin,p,#N/A,#N/A,FALSE,,
West,2,d,Rowland,Helms,p,#N/A,#N/A,FALSE,,
