team,division,r1,r2,r3
Airplane,1,505,506,--
Bordin,1,503,505,--
Crows,1,506,502,--
Franti,1,514,502,--
Garcia,1,502,220,--
Greenday,1,504,505,--
Joplin,1,506,504,--
Lewis,1,503,503,--
Metallica,1,504,220,--
Santana,1,220,514,--
Stone,1,220,506,--
Train,1,502,503,--
Weir,1,505,514,--
Young,1,514,504,--
Biafra,2,608,606,--
Buckingham,2,613,624,--
Call,2,602,608,--
Creedence,2,606,622,--
Desmond,2,613,602,--
Exodus,2,622,608,--
Grape,2,624,624,--
Journey,2,622,613,--
Lesh,2,611,613,--
McKernan,2,624,602,--
Miller,2,606,606,--
Moore,2,611,611,--
Nightranger,2,608,622,--
Testament,2,602,611,--
